Ticker,Empresa,Sector,Icono
IESC,IES Holdings,Industrial / Servicios,🏗️
LITE,Lumentum,Tecnología Óptica,📡
ONTO,Onto Innovation,Equipamiento para Semiconductores,🔬
PCVX,Vaxcyte,Biotecnología,🧬
PLMR,Palomar Holdings,Seguros,🛡️
RKLB,Rocket Lab USA,Tecnología Espacial,🚀
RYAN,Ryan Specialty Holdings,Seguros,🛡️
SFM,Sprouts Farmers Market,Distribución Alimentaria,🥦
TMDX,TransMedics,Dispositivos Médicos,🩺
UFPI,Universal Forest Products,Materiales / Construcción,🪵
WING,Wingstop,Restauración,🍗
WMS,Advanced Drainage Systems,Infraestructuras / Materiales,🛠️
CARG,CarGurus,Marketplace Automoción,🚗
